Author,Quote,Book,Tags,Rating,Location,Link,Collected,RawSource,Created,id
,,,,,,,,,"August 20, 2022 8:54 AM",
Matthew Crawford,The satisfactions of manifesting oneself concretely in the world through manual competence have been known to make a man quiet and easy,https://www.amazon.com/Shop-Class-Soulcraft-Inquiry-Value/dp/0143117467,"Craft, Happiness, Productivity",⭐️⭐️⭐️⭐️,,https://www.newyorker.com/culture/office-space/lessons-from-the-deep-history-of-work,"November 12, 2022",,"November 13, 2022 6:44 AM",
Third Zen Patriarch,The Great Way is easy. For one with no preferences.,,"Enlightenment, Happiness",⭐️⭐️⭐️⭐️,,https://www.slideshare.net/drrickhanson/equanimity,"November 1, 2022",,"November 1, 2022 9:45 AM",
Henry David Thoreau,I make myself rich by making my wants few.,,"Happiness, Wealth",⭐️⭐️⭐️⭐️,,,,,"November 1, 2022 9:43 AM",
The Buddha,There are those that do not realise we all must die. But those who do realise this settle their quarrels.,,Enlightenment,⭐️⭐️⭐️⭐️,,https://www.slideshare.net/drrickhanson/equanimity,"November 1, 2022",,"November 1, 2022 9:42 AM",
https://www.goodreads.com/author/quotes/656983.J_R_R_Tolkien,"There, peeping among the cloud-wrack above a dark tor high up in the mountains, Sam saw a white star twinkle for a while. The beauty of it smote his heart, as he looked up out of the forsaken land, and hope returned to him. For like a shaft, clear and cold, the thought pierced him that in the end the Shadow was only a small and passing thing: there was light and high beauty for ever beyond its reach.",https://www.goodreads.com/work/quotes/2964424,"Adversity, Beauty",⭐️⭐️⭐️⭐️,,,"November 1, 2022",,"November 1, 2022 9:38 AM",
John Maynard Keynes,"When the facts change, I change my mind, sir. What do you do? ",,Ignorance,⭐️⭐️⭐️⭐️,,https://www.slideshare.net/drrickhanson/equanimity,"November 1, 2022",,"November 1, 2022 9:27 AM",
The https://amzn.to/2Qb6lfm,"With equanimity, you can deal with situations with calm and reason while keeping your inner happiness.",,"Buddhism, Equanimity",⭐️⭐️⭐️⭐️,,https://www.nerdycreator.com/blog/how-to-develop-equanimity/,"November 1, 2022",,"November 1, 2022 9:18 AM",
https://www.goodreads.com/author/show/4029970.Eric_Jorgenson,"When today is complete in and of itself, you are retired.",The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Finance,⭐️⭐️⭐️⭐️,,https://www.youtube.com/watch?v=ZaCNnliEW9A,"October 2, 2022",,"October 2, 2022 7:53 AM",
https://www.goodreads.com/author/show/4029970.Eric_Jorgenson,Retirement is when you stop sacrificing today for an imaginary tomorrow.,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Finance,⭐️⭐️⭐️⭐️,,https://www.youtube.com/watch?v=ZaCNnliEW9A,"October 2, 2022",,"October 2, 2022 7:50 AM",
